"Customer","Sales Order ID","ShipDate","Product","Sales","Quantity"
"Curtis, Liu","SO61145",2013-01-07,"All-Purpose Bike Stand",159.00,1
"Josue, Blanco","SO61570",2013-01-13,"All-Purpose Bike Stand",159.00,1
"Kellie, Vazquez","SO61892",2013-01-18,"All-Purpose Bike Stand",159.00,1
"Julian, Flores","SO61953",2013-01-19,"All-Purpose Bike Stand",159.00,1
"Taylor, Taylor","SO62004",2013-01-20,"All-Purpose Bike Stand",159.00,1
"Jill, Hernandez","SO62095",2013-01-22,"All-Purpose Bike Stand",159.00,1
"Gina, Martin","SO62245",2013-01-24,"All-Purpose Bike Stand",159.00,1
"Andrea, Morris","SO62485",2013-01-28,"All-Purpose Bike Stand",159.00,1
"Samuel, Ross","SO62601",2013-01-30,"All-Purpose Bike Stand",159.00,1
"Troy, Mehta","SO62654",2013-01-31,"All-Purpose Bike Stand",159.00,1
"Dominic, Madan","SO62727",2013-02-01,"All-Purpose Bike Stand",159.00,1
"Colin, He","SO62816",2013-02-02,"All-Purpose Bike Stand",159.00,1
"Brad, Oliver","SO62776",2013-02-02,"All-Purpose Bike Stand",159.00,1
"Natalie, Diaz","SO62924",2013-02-04,"All-Purpose Bike Stand",159.00,1
"Roger, Harui","SO63036",2013-02-06,"All-Purpose Bike Stand",159.00,1
"Hailey, Morgan","SO63054",2013-02-06,"All-Purpose Bike Stand",159.00,1
"Corey, Lal","SO63059",2013-02-06,"All-Purpose Bike Stand",159.00,1
"Jasmine, Taylor","SO63329",2013-02-08,"All-Purpose Bike Stand",159.00,1
"Erika, Dominguez","SO63386",2013-02-09,"All-Purpose Bike Stand",159.00,1
"Tamara, Johnston","SO63501",2013-02-11,"All-Purpose Bike Stand",159.00,1
"Bonnie, Chande","SO63620",2013-02-12,"All-Purpose Bike Stand",159.00,1
"Randy, Chen","SO63694",2013-02-14,"All-Purpose Bike Stand",159.00,1
"Paige, Cook","SO63774",2013-02-15,"All-Purpose Bike Stand",159.00,1
"Henry, Kapoor","SO63854",2013-02-16,"All-Purpose Bike Stand",159.00,1
"Krystal, Zheng","SO64091",2013-02-20,"All-Purpose Bike Stand",159.00,1
"Cynthia, Rodriguez","SO64057",2013-02-20,"All-Purpose Bike Stand",159.00,1
"Todd, Zheng","SO64140",2013-02-21,"All-Purpose Bike Stand",159.00,1
"Martin, Suri","SO64183",2013-02-22,"All-Purpose Bike Stand",159.00,1
"Ruben, Suarez","SO64434",2013-02-25,"All-Purpose Bike Stand",159.00,1
"Thomas, Hill","SO64436",2013-02-25,"All-Purpose Bike Stand",159.00,1
"Rafael, Shen","SO64464",2013-02-26,"All-Purpose Bike Stand",159.00,1
"Lisa, Cai","SO64592",2013-02-27,"All-Purpose Bike Stand",159.00,1
